Group_ID,Group_name,Short_name
26,Manage Your Kindle; Free Kindle Reading Apps; Kindle Cloud Reader; Kindle Paperwhite 3G; Cloud Player for iOS; Cloud Player for Web; Cloud Player for Android; Kindle E-reader Accessories; Cloud Drive Photos for Android; Your Cloud Drive; Kindle Books; Cloud Player for Home; Kindle Owners' Lending Library; Cloud Drive Photos for iPhone; Kindle Fire Accessories; Cloud Player for PC; Kindle; Music on Kindle Fire; Learn More About Cloud Drive; Kindle Paperwhite,"Reader, Cloud, Kindle"
27,Kindle Cloud Reader; Cloud Player for iOS; Cloud Player for Web; Cloud Player for Android; Cloud Drive Photos for Android; Your Cloud Drive; Cloud Player for Home; Cloud Drive Photos for iPhone; Cloud Player for PC; Learn More About Cloud Drive,"Android, Player, Cloud"
28,Test Drive Apps; Kindle Cloud Reader; Cloud Player for iOS; Cloud Player for Web; Cloud Player for Android; Cloud Drive Photos for Android; Your Cloud Drive; Cloud Player for Home; Cloud Drive Photos for iPhone; Cloud Player for PC; Learn More About Cloud Drive,"Android, Drive, Cloud"
29,Kindle Cloud Reader; Cloud Player for iOS; Cloud Player for Web; Cloud Player for Android; Photo Center; Cloud Drive Photos for Android; Your Cloud Drive; Cloud Player for Home; Cloud Drive Photos for iPhone; Cloud Player for PC; Learn More About Cloud Drive,"Center, Android, Photos, Cloud"
30,Mobile Phones & iPhones; Kindle Cloud Reader; Cloud Player for iOS; Cloud Player for Web; Cloud Player for Android; Photo Center; Cloud Drive Photos for Android; Your Cloud Drive; Cloud Player for Home; Cloud Drive Photos for iPhone; Cloud Player for PC; Learn More About Cloud Drive,"iPhone, Photos, Cloud"
31,Mobile Phones & iPhones; Test Drive Apps; Kindle Cloud Reader; Cloud Player for iOS; Cloud Player for Web; Cloud Player for Android; Cloud Drive Photos for Android; Your Cloud Drive; Cloud Player for Home; Cloud Drive Photos for iPhone; Cloud Player for PC; Learn More About Cloud Drive,"iPhone, Drive, Cloud"
32,Cell Phones & Services; Mobile Phones & iPhones; Cloud Drive Photos for iPhone,"Mobile, Phones, iPhone"
33,Cell Phones & Services; Mobile Phones & iPhones,"Cell, Services, Phones"
34,Kindle Cloud Reader; Cloud Player for iOS; Cloud Player for Web; Cloud Player for Android; Cloud Drive Photos for Android; Your Cloud Drive; Cloud Player for Home; Cloud Drive Photos for iPhone; Cloud Player for PC; Learn More About Cloud Drive,"iOS, Player, Cloud"
35,Kindle Cloud Reader; Cloud Player for iOS; Cloud Player for Web; Cloud Player for Android; Cloud Drive Photos for Android; Your Cloud Drive; Cloud Player for Home; Cloud Drive Photos for iPhone; Cloud Player for PC; Learn More About Cloud Drive,"PC, Player, Cloud"
36,Kindle Cloud Reader; Cloud Player for iOS; Cloud Player for Web; Cloud Player for Android; Cloud Drive Photos for Android; Your Cloud Drive; Cloud Player for Home; Cloud Drive Photos for iPhone; Cloud Player for PC; Learn More About Cloud Drive,"Web, Player, Cloud"
37,Test Drive Apps; Kindle Cloud Reader; Cloud Player for iOS; Cloud Player for Web; Cloud Player for Android; Photo Center; Cloud Drive Photos for Android; Your Cloud Drive; Cloud Player for Home; Cloud Drive Photos for iPhone; Cloud Player for PC; Learn More About Cloud Drive,"Photos, Drive, Cloud"
38,Free Kindle Reading Apps; Apps; Cloud Player for Home; Kindle Fire Accessories; Your Cloud Drive; Music on Kindle Fire; Test Drive Apps; Cloud Player for iOS; Cloud Player for Android; Kindle E-reader Accessories; Kindle Owners' Lending Library; Manage Your Kindle; Cloud Player for PC; Kindle Books; Kindle Paperwhite 3G; Amazon Apps; Kindle; Get the Desktop App; Kindle Paperwhite; Your Apps and Devices; Cloud Player for Web; Cloud Drive Photos for Android; Kindle Cloud Reader; Cloud Drive Photos for iPhone; Learn More About Cloud Drive,"Devices, Drive, App, Cloud, Kindle"
39,Test Drive Apps; Kindle Cloud Reader; Cloud Player for iOS; Cloud Player for Web; Cloud Player for Android; Cloud Drive Photos for Android; Your Cloud Drive; Cloud Player for Home; Cloud Drive Photos for iPhone; Cloud Player for PC; Learn More About Cloud Drive,"Learn, Drive, Cloud"
40,Free Kindle Reading Apps; Your Apps and Devices; Cloud Drive Photos for Android; Apps; Your Cloud Drive; Amazon Apps; Test Drive Apps; Get the Desktop App; Learn More About Cloud Drive; Cloud Drive Photos for iPhone,"Test, Drive, App"
41,"Kindle Paperwhite 3G; Free Kindle Reading Apps; Movies & Music; Music; Fire HD 8.9""; Fire; Kindle E-reader Accessories; Fire HD 8.9"" 4G; Kindle Cloud Reader; Fire HD; Kindle Owners' Lending Library; Musical Instruments; Kindle Fire Accessories; Kindle; Music on Kindle Fire; Manage Your Kindle; MP3 Music Store; Kindle Books; Kindle Paperwhite","Fire, Music, Kindle"
42,Audio & MP3; Movies & Music; MP3 Music Store; MP3 Downloads; Musical Instruments; Music; Music on Kindle Fire; Super Heroes Store,"Downloads, Store, MP3, Music"
43,Super Heroes Store; MP3 Music Store,"Super, Heroes, Store"
44,Home; Audio & MP3; Home & Garden; Home Improvement; Home & Portable Audio,"Portable, Audio, Improvement, Home"
45,"Patio & Garden; Patio, Lawn & Garden; Home & Garden","Lawn, Patio, Garden"
46,Manage Your Kindle; Free Kindle Reading Apps; Kindle Paperwhite; Kindle Paperwhite 3G; Your Apps and Devices; Kindle E-reader Accessories; Apps; Kindle Cloud Reader; Amazon Apps; Kindle Owners' Lending Library; Test Drive Apps; Kindle Fire Accessories; Kindle; Music on Kindle Fire; Get the Desktop App; Kindle Books,"Reading, App, Kindle"
47,Free Kindle Reading Apps; Kindle Paperwhite; Kindle Paperwhite 3G; Kindle E-reader Accessories; Kindle Cloud Reader; Kindle Owners' Lending Library; Manage Your Kindle; Kindle Fire Accessories; Kindle; Music on Kindle Fire; Kindle Books,"Free, Reading, Kindle"
48,Manage Your Kindle; Free Kindle Reading Apps; Kindle Paperwhite; Kindle Paperwhite 3G; Your Apps and Devices; Kindle E-reader Accessories; Apps; Kindle Cloud Reader; Amazon Apps; Kindle Owners' Lending Library; Test Drive Apps; Kindle Fire Accessories; Kindle; Music on Kindle Fire; Get the Desktop App; Kindle Books,"Free, App, Kindle"
49,Amazon Instant Video; Video Games; Apps; Kindle E-reader Accessories; Free Kindle Reading Apps; Kindle Fire Accessories; Music on Kindle Fire; Test Drive Apps; Your Games & Software Library; Amazon Mom; Digital Games; Kindle Owners' Lending Library; Video Games for Kids; Free-to-Play Games; Kindle Books; Kindle Paperwhite 3G; Amazon Apps; Games; Kindle; Get the Desktop App; Kindle Paperwhite; Your Apps and Devices; Game Time; Kindle Cloud Reader; Toys & Games; Manage Your Kindle; Camera & Video; Video Games & Consoles,"Mom, Library, Amazon, App, Video, Kindle"
50,Amazon Instant Video; Amazon Mom; Video Games; Amazon Apps; Camera & Video; Video Games for Kids; Video Games & Consoles,"Instant, Amazon, Video"
51,Free Kindle Reading Apps; Your Apps and Devices; Apps; Amazon Apps; Test Drive Apps; Get the Desktop App,"Get, Desktop, App"
52,"Fire HD 8.9""; Fire; Fire HD 8.9"" 4G; Fire HD; Kindle Fire Accessories; Music on Kindle Fire","4G, HD, Fire"
53,"Fire HD 8.9""; Fire; Fire HD 8.9"" 4G; Fire HD; Kindle Fire Accessories; Music on Kindle Fire","89, HD, Fire"
54,"Fire HD 8.9""; Fire; Fire HD 8.9"" 4G; Fire HD; Kindle Fire Accessories; Music on Kindle Fire","4G, 89, Fire"
55,Amazon Instant Video; Your Games & Software Library; Toys & Games; Game Time; Video Games; Digital Games; Games; Video Games for Kids; Camera & Video; Video Games & Consoles; Free-to-Play Games,"Consoles, Video, Games"
56,Your Games & Software Library; Toys & Games; Game Time; Video Games; Digital Games; Games; Digital Software; Video Games for Kids; Video Games & Consoles; Free-to-Play Games; Software,"Software, Digital, Games"
57,Main Street Revolution,"Revolution, Street, Main"
58,Grocery; Grocery & Gourmet Food; Grocery Delivery,"Gourmet, Food, Grocery"
59,"Arts, Crafts & Sewing; Crafts & Sewing","Arts, Crafts, Sewing"
60,Empowering Women Together,"Together, Women, Empowering"
61,Wounded Warrior Project,"Project, Wounded, Warrior"
62,Lamps & Light Fixtures; Bedding & Bath; Bed & Bath; Kitchen & Bath Fixtures; Kitchen & Dining; Kitchen,"Dining, Fixtures, Kitchen, Bedding, Bath"
63,Lamps & Light Fixtures; Kitchen & Bath Fixtures; Lighting,"Lamps, Light, Fixtures"
